sentence,ID,clean sentence,start_index,end_index,phrase,syllables,length,pos,dep num,lemma,synonyms,hypernyms,hyponyms,ogden,simple_wiki,cald,cnc,img,aoa,phon,sub_imdb,google frequency,KFCAT,FAM,KFSMP,KFFRQ,NPHN,TLFRQ
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",6,16,guatemalan,4,10,NNP,0,guatemalan,2,1,0,0,0,0,0,0,0,0,0,1.862244,0,0,0,0,0,0
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",31,39,approves,2,8,VBZ,7,approve,2,1,4,1,0,0,0,0,0,5,1,2.218777,14,0,12,6,5,171
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",17,24,supreme,2,7,NNP,0,supreme,4,0,0,0,1,5,0,0,0,0,1,0,51,0,33,11,0,139
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",100,107,supreme,2,7,NNP,0,supreme,4,0,0,0,1,5,0,0,0,0,1,0,51,0,33,11,0,139
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",25,30,court,1,5,NNP,4,court,14,1,26,1,1,4,509,552,0,0,1,239.973395,230,549,64,13,0,701
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",108,113,court,1,5,NNP,4,court,14,1,26,1,1,4,509,552,0,0,1,239.973395,230,549,64,13,0,701
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",40,51,impeachment,3,11,NN,1,impeachment,1,1,0,0,0,0,0,0,0,10,0,2.669796,0,0,0,0,10,2
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",55,64,president,3,9,NNP,0,president,6,1,0,1,1,2,526,572,458,0,1,195.932371,382,538,110,13,0,1019
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",165,174,president,3,9,NNP,0,president,6,1,0,1,1,2,526,572,458,0,1,195.932371,382,538,110,13,0,1019
"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",65,71,molina,3,6,NNP,5,molina,0,0,0,0,0,0,0,0,0,0,0,1.314029,0,0,0,0,0,0
