sentence,ID,clean sentence,start_index,end_index,phrase,syllables,length,pos,dep num,lemma,synonyms,hypernyms,hyponyms,ogden,simple_wiki,cald,cnc,img,aoa,phon,sub_imdb,google frequency,KFCAT,FAM,KFSMP,KFFRQ,NPHN,TLFRQ
"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",3XU9MCX6VODXPI3L8I02CM94TFB2R7,"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",0,8,normally,3,8,RB,0,normally,1,0,0,0,0,4,0,0,0,0,1,67.095202,0,0,0,0,0,0
"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",3XU9MCX6VODXPI3L8I02CM94TFB2R7,"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",28,34,passed,1,6,VBN,9,pass,43,1,0,1,1,0,385,479,0,0,1,145.344892,89,535,63,15,0,1815
"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",3XU9MCX6VODXPI3L8I02CM94TFB2R7,"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",15,19,land,1,4,NN,1,land,18,1,3,1,1,4,604,566,286,4,1,328.00128,217,574,105,15,4,940
"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",3XU9MCX6VODXPI3L8I02CM94TFB2R7,"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",43,49,future,2,6,JJ,0,future,7,1,5,1,1,3,311,413,414,0,1,253.469612,227,612,134,15,0,707
"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",3XU9MCX6VODXPI3L8I02CM94TFB2R7,"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",50,61,generations,4,11,NNS,2,generation,7,1,2,0,1,0,320,362,489,9,1,33.784687,55,520,37,10,9,240
"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",3XU9MCX6VODXPI3L8I02CM94TFB2R7,"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",76,86,recognizes,4,10,VBZ,2,recognize,9,1,0,1,0,0,0,0,0,8,1,12.712029,62,0,47,12,8,509
"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",3XU9MCX6VODXPI3L8I02CM94TFB2R7,"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",91,100,community,4,9,NN,2,community,6,1,11,0,1,4,388,416,522,9,1,295.814954,231,499,86,12,9,441
"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",3XU9MCX6VODXPI3L8I02CM94TFB2R7,"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",104,115,traditional,4,11,JJ,0,traditional,2,0,0,0,1,3,0,0,0,9,1,138.743413,78,0,58,10,9,55
"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",3XU9MCX6VODXPI3L8I02CM94TFB2R7,"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",135,142,country,2,7,NN,2,country,5,1,11,1,1,1,465,539,329,6,1,351.066841,324,592,163,15,6,1714
"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",3XU9MCX6VODXPI3L8I02CM94TFB2R7,"Normally , the land will be passed down to future generations in a way that recognizes the community 's traditional connection to that country .",116,126,connection,3,10,NN,3,connection,9,1,9,0,0,4,0,0,0,8,1,97.291888,69,0,58,14,8,189
