,word,index,frequency
27,['you'],0,503587
79,['i'],0,451423
0,['the'],0,416499
82,['to'],0,293028
51,['s'],0,282527
4,['a'],0,256309
123,['it'],0,247846
8,['and'],0,179142
31,['that'],0,177153
85,['t'],0,171391
276,['n'],0,166325
60,['of'],0,155673
275,['do'],0,149110
47,['we'],0,147597
30,['is'],0,141930
33,['what'],0,127610
87,['this'],0,123773
42,['in'],0,117170
26,['me'],0,112682
149,['on'],0,103245
77,['my'],0,93800
129,['for'],0,88471
75,['your'],0,86594
295,['have'],0,86171
340,['no'],0,86134
309,['re'],0,84229
93,['he'],0,84216
351,['be'],0,82549
107,['are'],0,82050
80,['m'],0,82025
50,['all'],0,75346
94,['not'],0,75166
102,['but'],0,65551
91,['oh'],0,63979
248,['here'],0,63770
16,['was'],0,63531
97,['get'],0,63221
6,['with'],0,61490
426,['just'],0,61173
45,['know'],0,60011
212,['there'],0,59150
103,['ll'],0,59124
71,['go'],0,56401
471,['so'],0,55444
58,['now'],0,53069
279,['right'],0,52924
283,['they'],0,52874
232,['out'],0,52778
337,['can'],0,52324
448,['like'],0,50573
347,['up'],0,48971
119,['got'],0,48191
247,['come'],0,46976
307,['one'],0,44588
284,['did'],0,43210
52,['well'],0,42080
74,['if'],0,41918
221,['ve'],0,39842
117,['him'],0,39560
265,['about'],0,39167
527,['will'],0,37967
206,['let'],0,37697
262,['how'],0,37658
99,['at'],0,37588
984,['yeah'],0,36123
451,['good'],0,34469
207,['see'],0,33765
410,['she'],0,33527
851,['think'],0,32168
871,['time'],0,31623
181,['back'],0,30971
1302,['l'],0,30867
308,['us'],0,30522
242,['as'],0,30390
422,['na'],0,30209
353,['hey'],0,30024
485,['look'],0,28776
458,['who'],0,28659
81,['going'],0,28157
332,['from'],0,27542
431,['want'],0,27224
118,['where'],0,26894
281,['yes'],0,26755
489,['them'],0,26454
88,['would'],0,26397
142,['her'],0,26074
782,['why'],0,26050
198,['our'],0,25977
563,['ca'],0,25895
25946,['â'],0,25025
343,['could'],0,25013
344,['take'],0,24716
605,['when'],0,24125
20,['his'],0,23852
421,['gon'],0,23829
190,['an'],0,23665
2717,['okay'],0,23385
473,['way'],0,22726
25960,['ª'],0,22645
304,['d'],0,21798
199,['little'],0,21079
19,['man'],0,20974
369,['been'],0,20732
418,['down'],0,20538
174,['some'],0,20390
302,['were'],0,20017
404,['really'],0,19890
557,['too'],0,19725
267,['or'],0,19623
65,['say'],0,19575
291,['never'],0,19473
78,['then'],0,19359
29,['something'],0,19191
176,['by'],0,19180
441,['make'],0,18695
322,['more'],0,18442
822,['need'],0,18297
762,['has'],0,18269
122,['tell'],0,17662
540,['uh'],0,17447
260,['had'],0,17264
166,['over'],0,16858
863,['help'],0,16580
211,['am'],0,16388
645,['only'],0,16233
56,['off'],0,15889
755,['wait'],0,15666
1048,['does'],0,15635
147,['show'],0,15496
445,['should'],0,15404
356,['sorry'],0,15274
432,['very'],0,14754
779,['sure'],0,14729
321,['give'],0,14595
654,['mean'],0,14477
101,['must'],0,14291
1118,['thing'],0,14137
289,['two'],0,14125
235,['find'],0,13935
756,['please'],0,13810
2912,['guys'],0,13755
791,['stop'],0,13495
1530,['mr'],0,13411
1269,['these'],0,13358
61,['great'],0,13065
120,['any'],0,13039
184,['into'],0,12977
250,['doing'],0,12873
1324,['those'],0,12827
1430,['thank'],0,12629
504,['love'],0,12504
491,['again'],0,12393
329,['even'],0,11931
1384,['much'],0,11736
785,['better'],0,11610
2002,['power'],0,11330
249,['said'],0,11290
829,['maybe'],0,11158
487,['away'],0,11125
797,['because'],0,11052
1545,['people'],0,10987
580,['first'],0,10952
1148,['still'],0,10853
255,['big'],0,10849
210,['before'],0,10724
282,['sir'],0,10660
582,['day'],0,10519
544,['new'],0,10448
1053,['keep'],0,10247
70,['boy'],0,10227
1042,['old'],0,10085
735,['than'],0,10071
630,['ever'],0,10048
341,['anything'],0,10011
172,['their'],0,9991
316,['home'],0,9927
859,['work'],0,9830
208,['thought'],0,9799
604,['life'],0,9730
328,['nothing'],0,9718
3549,['dad'],0,9666
40,['put'],0,9578
450,['huh'],0,9555
2024,['ha'],0,9345
507,['world'],0,9300
461,['long'],0,9209
324,['after'],0,9186
403,['believe'],0,9093
1519,['around'],0,8980
599,['last'],0,8801
634,['other'],0,8781
606,['wo'],0,8715
126,['night'],0,8635
615,['always'],0,8555
526,['nice'],0,8500
1763,['call'],0,8469
146,['shop'],0,8427
409,['place'],0,8382
968,['thanks'],0,8338
751,['things'],0,8320
151,['com'],0,8145
266,['everything'],0,7992
974,['ta'],0,7982
148,['fashion'],0,7933
854,['bad'],0,7928
2485,['whoa'],0,7889
1024,['talk'],0,7858
3650,['ok'],0,7638
150,['looklive'],0,7620
918,['coming'],0,7607
828,['enough'],0,7536
278,['stay'],0,7524
245,['through'],0,7461
273,['kind'],0,7432
801,['made'],0,7395
106,['ah'],0,7372
652,['hold'],0,7283
481,['ready'],0,7280
35,['name'],0,7262
753,['hello'],0,7228
1105,['try'],0,7199
2928,['guy'],0,7188
625,['may'],0,7126
1007,['three'],0,7081
542,['course'],0,7050
319,['done'],0,7033
482,['leave'],0,6997
746,['hear'],0,6989
631,['feel'],0,6942
802,['wrong'],0,6919
590,['remember'],0,6898
971,['fine'],0,6799
1603,['told'],0,6792
195,['another'],0,6736
399,['girl'],0,6675
108,['father'],0,6671
2536,['hi'],0,6657
928,['every'],0,6606
650,['listen'],0,6558
639,['move'],0,6510
3562,['mom'],0,6494
1193,['best'],0,6433
548,['next'],0,6381
535,['left'],0,6358
955,['might'],0,6358
1319,['own'],0,6348
1462,['real'],0,6331
474,['getting'],0,6271
38,['years'],0,6214
569,['mind'],0,6211
440,['wan'],0,6172
92,['guess'],0,6139
269,['both'],0,6116
959,['happened'],0,6083
1558,['being'],0,6033
813,['use'],0,5975
1194,['watch'],0,5908
444,['friend'],0,5867
1478,['miss'],0,5829
16764,['max'],0,5829
757,['run'],0,5810
362,['looks'],0,5791
868,['someone'],0,5735
100,['once'],0,5724
1394,['lot'],0,5686
2327,['music'],0,5683
490,['together'],0,5652
112,['care'],0,5607
495,['which'],0,5601
222,['found'],0,5567
1392,['without'],0,5483
280,['understand'],0,5476
130,['baby'],0,5457
1233,['turn'],0,5419
642,['most'],0,5414
651,['idea'],0,5399
1001,['head'],0,5388
327,['seen'],0,5361
2132,['talking'],0,5335
155,['hope'],0,5331
2138,['trying'],0,5330
1444,['god'],0,5301
1,['kid'],0,5297
591,['looking'],0,5295
534,['gone'],0,5252
1087,['yourself'],0,5192
498,['friends'],0,5143
8210,['grunts'],0,5120
315,['bring'],0,5113
852,['mother'],0,5095
135,['wanted'],0,5071
349,['pretty'],0,5069
1069,['minute'],0,5053
1768,['play'],0,5051
49,['today'],0,5029
412,['worry'],0,5005
189,['came'],0,4976
832,['house'],0,4956
18853,['br'],0,4944
1388,['lt'],0,4907
875,['whole'],0,4905
4668,['grunting'],0,4819
1320,['son'],0,4817
14502,['rangers'],0,4815
521,['knew'],0,4809
348,['fire'],0,4807
908,['door'],0,4796
1443,['everyone'],0,4793
320,['yet'],0,4711
134,['lost'],0,4707
486,['while'],0,4655
719,['face'],0,4646
494,['room'],0,4621
115,['matter'],0,4616
4140,['master'],0,4600
665,['live'],0,4579
116,['ask'],0,4573
1463,['else'],0,4550
3695,['car'],0,4550
53,['job'],0,4546
2657,['chief'],0,4533
4387,['captain'],0,4523
298,['open'],0,4474
1571,['same'],0,4452
1536,['dog'],0,4451
1606,['heard'],0,4449
1423,['money'],0,4447
7791,['aah'],0,4445
145,['end'],0,4408
2734,['kids'],0,4396
609,['start'],0,4387
1102,['water'],0,4377
1782,['fight'],0,4376
1412,['such'],0,4374
2490,['school'],0,4365
523,['happy'],0,4358
511,['fun'],0,4356
1004,['dead'],0,4345
406,['everybody'],0,4343
2016,['earth'],0,4343
1962,['until'],0,4312
171,['many'],0,4306
2923,['excuse'],0,4286
3387,['family'],0,4283
1602,['already'],0,4275
215,['true'],0,4215
773,['kill'],0,4204
2487,['ooh'],0,4203
6941,['actually'],0,4196
1604,['laughing'],0,4177
1207,['meet'],0,4156
1000,['hurry'],0,4136
1255,['tonight'],0,4126
1259,['bye'],0,4126
374,['saw'],0,4124
18,['alone'],0,4116
1124,['stuff'],0,4096
748,['soon'],0,4087
572,['dear'],0,4086
1084,['eat'],0,4081
525,['hand'],0,4078
4346,['problem'],0,4069
31316,['turtles'],0,4058
745,['wish'],0,4052
978,['hard'],0,4051
385,['city'],0,4049
2262,['used'],0,4025
3651,['check'],0,3990
657,['control'],0,3978
366,['mine'],0,3968
638,['easy'],0,3967
314,['forget'],0,3938
3026,['wow'],0,3937
157,['men'],0,3922
646,['cool'],0,3914
890,['em'],0,3889
991,['chance'],0,3886
904,['myself'],0,3860
21,['morning'],0,3855
37,['five'],0,3817
1287,['save'],0,3813
872,['under'],0,3810
160,['far'],0,3805
1856,['king'],0,3790
392,['jack'],0,3753
1629,['took'],0,3753
1903,['plan'],0,3742
1188,['anyone'],0,3722
1424,['since'],0,3688
1976,['o'],0,3669
183,['went'],0,3660
4150,['game'],0,3645
416,['ai'],0,3643
139,['trouble'],0,3639
1674,['late'],0,3635
2293,['second'],0,3628
442,['hit'],0,3609
798,['afraid'],0,3604
1758,['part'],0,3603
4625,['team'],0,3579
13,['woman'],0,3578
4856,['ship'],0,3567
1927,['exactly'],0,3561
499,['heart'],0,3531
1851,['four'],0,3531
417,['ya'],0,3521
1905,['party'],0,3519
966,['stand'],0,3516
1668,['cause'],0,3514
549,['few'],0,3509
996,['says'],0,3502
608,['tomorrow'],0,3501
2493,['boys'],0,3489
9744,['gasps'],0,3454
795,['hurt'],0,3451
545,['year'],0,3447
600,['shall'],0,3441
555,['called'],0,3435
864,['set'],0,3399
1010,['beautiful'],0,3388
3510,['supposed'],0,3381
2403,['um'],0,3379
983,['close'],0,3374
68,['brother'],0,3363
373,['eyes'],0,3345
3788,['means'],0,3336
357,['crazy'],0,3326
358,['inside'],0,3319
34,['its'],0,3303
3191,['wants'],0,3294
1002,['break'],0,3280
1568,['welcome'],0,3253
3386,['working'],0,3250
668,['honey'],0,3233
1535,['bit'],0,3224
837,['children'],0,3195
1551,['taking'],0,3189
4407,['playing'],0,3171
2010,['somebody'],0,3170
737,['red'],0,3168
1158,['change'],0,3153
635,['side'],0,3146
653,['hands'],0,3145
1820,['almost'],0,3138
1878,['thinking'],0,3121
989,['comes'],0,3119
1464,['each'],0,3117
1172,['hate'],0,3111
1738,['ago'],0,3108
2052,['whatever'],0,3106
13198,['dude'],0,3104
1258,['happen'],0,3091
990,['shut'],0,3089
1863,['makes'],0,3067
1554,['half'],0,3058
807,['young'],0,3051
2268,['probably'],0,3047
6733,['evil'],0,3047
39,['later'],0,3037
310,['cut'],0,3037
285,['days'],0,3030
2006,['screaming'],0,3030
1702,['free'],0,3024
1274,['rest'],0,3006
988,['behind'],0,3003
3834,['dr'],0,2983
1799,['making'],0,2977
1404,['saying'],0,2974
2921,['die'],0,2971
419,['high'],0,2948
1411,['having'],0,2947
2629,['word'],0,2944
318,['quite'],0,2942
1431,['sit'],0,2940
1844,['1'],0,2933
463,['human'],0,2927
1049,['knows'],0,2919
3693,['deal'],0,2898
683,['story'],0,2892
323,['minutes'],0,2889
711,['magic'],0,2889
1852,['important'],0,2878
54,['number'],0,2862
1177,['perfect'],0,2855
900,['funny'],0,2851
1516,['town'],0,2842
313,['goes'],0,2835
641,['stupid'],0,2833
502,['secret'],0,2831
63,['read'],0,2827
1512,['mrs'],0,2812
3342,['least'],0,2803
470,['hot'],0,2790
533,['light'],0,2771
505,['girls'],0,2766
2948,['trust'],0,2763
820,['along'],0,2757
1129,['hang'],0,2756
443,['lady'],0,2747
1202,['nobody'],0,2747
3009,['point'],0,2730
6403,['laughs'],0,2726
3214,['safe'],0,2716
427,['moment'],0,2712
1387,['gets'],0,2707
5712,['ben'],0,2704
3761,['win'],0,2698
1547,['against'],0,2694
24326,['batman'],0,2693
2523,['book'],0,2686
2450,['lord'],0,2682
1833,['fast'],0,2677
296,['food'],0,2676
2048,['air'],0,2676
1247,['alive'],0,2674
2144,['destroy'],0,2673
698,['pay'],0,2672
11226,['sighs'],0,2667
270,['full'],0,2659
4779,['phone'],0,2654
32,['yours'],0,2649
125,['business'],0,2636
4898,['christmas'],0,2634
925,['follow'],0,2630
1727,['green'],0,2629
1743,['ahead'],0,2569
786,['fly'],0,2552
1795,['anyway'],0,2552
11244,['groans'],0,2551
1071,['catch'],0,2542
1821,['waiting'],0,2537
3193,['april'],0,2529
644,['times'],0,2523
3683,['able'],0,2520
3597,['daddy'],0,2519
823,['sleep'],0,2512
1614,['news'],0,2487
2491,['smart'],0,2482
24777,['mutant'],0,2472
2410,['ow'],0,2470
1178,['special'],0,2463
2637,['line'],0,2462
808,['seems'],0,2457
110,['needs'],0,2456
1322,['gave'],0,2448
1474,['luck'],0,2446
253,['also'],0,2439
2097,['professor'],0,2437
2159,['become'],0,2435
914,['dragon'],0,2424
43336,['ninja'],0,2422
1382,['hell'],0,2417
2839,['sounds'],0,2412
3328,['rock'],0,2411
9,['perhaps'],0,2407
361,['lose'],0,2406
997,['monster'],0,2402
1769,['ball'],0,2397
423,['dance'],0,2384
12037,['99'],0,2373
1180,['death'],0,2371
568,['brought'],0,2368
98,['doctor'],0,2365
579,['send'],0,2363
360,['case'],0,2357
769,['pick'],0,2336
8412,['planet'],0,2330
156,['dream'],0,2329
562,['finally'],0,2327
4613,['j'],0,2324
602,['quick'],0,2313
2741,['shot'],0,2293
629,['attack'],0,2289
2258,['learn'],0,2284
1134,['sweet'],0,2271
1025,['glad'],0,2270
2083,['top'],0,2260
8070,['chuckles'],0,2258
1184,['forever'],0,2254
1327,['bet'],0,2253
1085,['cat'],0,2246
2307,['sound'],0,2239
8804,['screams'],0,2238
66,['wonderful'],0,2235
2035,['2'],0,2227
1023,['wonder'],0,2220
1127,['anybody'],0,2216
2689,['clear'],0,2214
1597,['anymore'],0,2213
1218,['eye'],0,2211
1542,['uncle'],0,2202
3262,['war'],0,2200
1562,['running'],0,2198
558,['speak'],0,2196
552,['order'],0,2194
3071,['george'],0,2187
11074,['alex'],0,2185
585,['tried'],0,2175
2878,['boss'],0,2175
714,['space'],0,2170
1840,['different'],0,2162
1099,['pull'],0,2157
1074,['week'],0,2153
104,['return'],0,2151
926,['careful'],0,2146
1843,['00'],0,2132
520,['hair'],0,2128
4389,['billy'],0,2123
173,['lives'],0,2120
3849,['question'],0,2107
1620,['started'],0,2104
1092,['walk'],0,2101
2368,['either'],0,2097
1550,['reason'],0,2094
576,['promise'],0,2088
774,['princess'],0,2078
1666,['sister'],0,2077
95,['child'],0,2064
3770,['body'],0,2059
1706,['hours'],0,2057
216,['voice'],0,2055
3291,['telling'],0,2054
622,['feeling'],0,2053
889,['though'],0,2049
6215,['buddy'],0,2047
2532,['six'],0,2034
1214,['past'],0,2026
1228,['fish'],0,2025
2967,['future'],0,2017
1679,['person'],0,2011
230,['black'],0,2010
2366,['blue'],0,2010
3221,['answer'],0,2004
936,['quiet'],0,1992
892,['ho'],0,1987
707,['e'],0,1963
1468,['ride'],0,1961
47688,['sabrina'],0,1960
1097,['step'],0,1959
83,['beat'],0,1951
2101,['small'],0,1950
953,['touch'],0,1948
636,['outside'],0,1946
10756,['weird'],0,1944
59,['star'],0,1934
1400,['front'],0,1930
342,['poor'],0,1928
1982,['gentlemen'],0,1926
2205,['truth'],0,1916
48403,['shredder'],0,1916
543,['dinner'],0,1912
464,['cold'],0,1908
2099,['fault'],0,1901
3384,['taken'],0,1898
8133,['parents'],0,1895
833,['dark'],0,1893
1352,['finish'],0,1893
1216,['bed'],0,1882
455,['throw'],0,1881
1697,['met'],0,1870
1199,['strong'],0,1861
2357,['between'],0,1849
3948,['10'],0,1846
4555,['police'],0,1839
8876,['turtle'],0,1835
334,['fact'],0,1827
393,['ladies'],0,1826
2520,['hmm'],0,1826
8672,['growling'],0,1826
1532,['wife'],0,1810
601,['feet'],0,1806
1492,['lucky'],0,1806
127,['don'],0,1805
541,['words'],0,1804
2883,['drive'],0,1804
666,['land'],0,1803
16063,['beeping'],0,1803
1141,['fall'],0,1793
1506,['scared'],0,1793
12528,['machine'],0,1788
2467,['seem'],0,1786
194,['somewhere'],0,1785
4594,['class'],0,1785
980,['killed'],0,1784
1822,['happening'],0,1783
1027,['ma'],0,1777
389,['living'],0,1773
9554,['groaning'],0,1772
758,['song'],0,1771
3519,['sense'],0,1771
5074,['kidding'],0,1769
2317,['drop'],0,1763
2906,['entire'],0,1762
2871,['ugh'],0,1756
2776,['dangerous'],0,1753
271,['lead'],0,1752
5871,['powers'],0,1750
1179,['sort'],0,1748
2109,['y'],0,1747
888,['sometimes'],0,1744
825,['tree'],0,1741
4136,['saved'],0,1741
1566,['asked'],0,1740
2758,['moving'],0,1738
553,['buy'],0,1737
152,['gold'],0,1735
2025,['couple'],0,1731
2027,['la'],0,1731
4891,['battle'],0,1729
920,['sign'],0,1717
1017,['wake'],0,1715
3066,['till'],0,1714
2710,['ice'],0,1704
6873,['energy'],0,1700
1294,['strange'],0,1697
1839,['sent'],0,1693
4351,['c'],0,1692
789,['mad'],0,1690
2033,['hour'],0,1684
2513,['handle'],0,1682
3410,['shoot'],0,1681
1696,['brain'],0,1677
178,['others'],0,1672
10703,['teenage'],0,1671
3754,['serious'],0,1669
1827,['terrible'],0,1666
970,['fool'],0,1648
1410,['damn'],0,1647
