Word,Level
cattle,B1
clothes,A1
albeit,C2
and,A1
and,A1
because,A1
but,A1
and,A2
as,A2
although,B1
although,B1
and,B1
close,B1
as,A1
and,A1
as,A2
before,A2
after,B1
as,B1
as,B1
as,B1
before,B1
before,B1
but,B1
couch,A2
eight,A1
eighteen,A1
eleven,A1
fifteen,A1
eighth,A2
eighty,A2
fifth,A2
insofar as,C2
five,A1
four,A1
fourteen,A1
fifty,A2
forty,A2
fourth,A2
hundred,A2
if,A2
if,B1
if,B1
if,B1
if,B2
however,C2
million,A2
like,B1
or,A1
or,A2
or,B1
or,B2
only,C2
nine,A1
nineteen,A1
one,A1
ninety,A2
ninth,A2
now,B2
once,B2
or,C2
seventy,A2
provided (that),B2
second,B1
politically,C1
second,A1
seven,A1
seventeen,A1
seventh,A2
plus,B1
second,B1
so,A2
six,A1
sixteen,A1
ten,A1
thirteen,A1
three,A1
to,A1
twelve,A1
twenty,A1
two,A1
sixth,A2
sixty,A2
so,A2
that,A2
third,A2
thirty,A2
thousand,A2
to,A2
to,A2
since,B1
since,B1
though,B1
till,B1
unless,B1
until,B1
until,B1
though,B2
zero,A2
while,B1
whereas,B2
while,B2
zero,B1
when,A2
where,A2
while,A2
whenever,B1
wherever,B1
whether,B1
yet,B1
when,B2
where,B2
caution,C2
advertisement,A2
assert,C1
address,C2
cash,B1
acquire,B2
click,C2
bike,B1
clarification,C1
acknowledge,C1
aid,C1
applaud,C2
cease,B2
carrot,C2
character,C2
ages,B1
bunch,B1
click,C2
birth,C1
approval,B2
chemical,B2
appearance,B2
assurance,C1
allowance,C1
assistance,B2
appearance,B1
assurance,C2
appearance,B2
assistant,B1
coherence,C2
bestseller,B2
beginner,A2
CD player,A1
browser,B2
backpacker,B1
bumper,B2
cleaner,A2
babysitter,B1
barber,B1
barber,B1
builder,B1
adviser,C1
classic,B2
characteristic,B2
clothing,B2
catering,B2
apartment building,A2
central heating,B1
banking,A2
boxing,B1
camping,A2
backpacking,B1
animation,B1
allegation,C1
addition,B2
admission,B2
admission,B1
action,B1
collection,B2
action,B2
calculation,B2
admiration,B2
ambition,B2
appreciation,B2
affection,B2
attraction,C2
celebration,B1
adoption,B2
application,B2
capitalism,C2
archaeologist,C1
clarity,C2
capacity,B2
capacity,B2
capacity,C1
activity,B2
apologize,B1
argument,B1
agreement,B2
argument,B2
agreement,B2
arrangement,B2
achievement,B1
adjustment,B2
assessment,B2
amazement,B2
amusement,B2
astonishment,B2
attachment,B2
appointment,C2
blindness,C1
carelessness,B2
cheerfulness,C2
coldness,C2
anchor,C2
collector,B2
ancestor,B2
championship,B1
bravery,B2
addiction,B2
abortion,C1
animal,A1
bird,A1
cat,A1
baby,A2
bear,A2
chicken,A2
ant,B1
bat,B1
bee,B1
bug,B1
bull,B1
butterfly,B1
cage,B1
calf,B1
camel,B1
breed,B2
cell,B2
collar,B2
beak,C1
bark,B2
breed,B2
ad,A1
band,A1
book,A1
camera,A1
cartoon,A2
cartoon,A2
channel,A2
clown,A2
act,B1
album,B1
article,B1
audience,B1
biography,B1
chapter,B1
character,B1
circus,B1
audience,B2
beat,B2
cast,B2
cello,B2
choir,B2
column,B2
bow,C2
art,A2
cable,B1
ballet,B2
cinema,C1
brass,C2
